,Well,Sampling year,Sampling season,Label,Color,Marker,Size,Alpha,pH,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4
0,J1,1992,dry,C3,#3cb44b,o,20,0.6,6.9,62.7,13.0,14.9,0.9,257.5,0,12.5,10.0
1,J1,1992,wet,C3,#3cb44b,o,20,0.6,7.1,68.4,14.5,13.0,0.6,277.5,0,13.8,22.5
2,J1,1993,dry,C3,#3cb44b,o,20,0.6,6.9,74.2,13.0,13.1,0.7,287.5,0,13.8,10.0
3,J1,1993,wet,C3,#3cb44b,o,20,0.6,7.9,68.4,14.5,13.0,1.3,280.0,0,12.5,5.0
4,J1,1994,dry,C3,#3cb44b,o,20,0.6,7.1,66.8,13.0,12.7,0.6,272.5,0,13.8,7.5
5,J1,1995,dry,C3,#3cb44b,o,20,0.6,6.9,60.2,13.5,13.0,0.6,250.0,0,12.5,15.0
6,J1,1995,wet,C3,#3cb44b,o,20,0.6,6.9,64.3,13.0,14.9,0.8,250.1,0,16.3,12.5
7,J1,1996,dry,C3,#3cb44b,o,20,0.6,6.9,61.84,14.0,14.0,0.6,242.51,0,15.0,26.0
8,J1,1996,wet,C3,#3cb44b,o,20,0.6,6.7,63.49,13.0,13.8,0.88,242.51,0,16.25,10.0
9,J1,1997,dry,C3,#3cb44b,o,20,0.6,8.15,66.78,11.0,13.75,0.6,245.01,0,15.0,16.0
10,J1,1997,wet,C3,#3cb44b,o,20,0.6,8.29,62.66,14.0,11.72,0.61,220.005,0,15.0,12.0
11,J1,1998,dry,C3,#3cb44b,o,20,0.6,6.61,64.31,13.5,14.7,1.1,247.51,0,13.75,18.0
12,J1,1998,wet,C3,#3cb44b,o,20,0.6,6.67,64.31,12.5,11.7,0.5,245.01,0,18.75,7.2
13,J1,1999,dry,C3,#3cb44b,o,20,0.6,7.25,62.66,12.0,13.6,0.8,240.005,0,15.0,16.0
14,J1,1999,wet,C3,#3cb44b,o,20,0.6,6.67,64.31,11.5,14.7,0.7,245.01,0,16.25,18.0
